loan_id;status;amount;payment_schedule;interest_rate;ltv;risk_group;agreement_url
LOAN001;ACTIVE;50000;monthly;3.5;80;A;https://example.com/agreement1
LOAN002;ACTIVE;75000;quarterly;4.2;75;B;https://example.com/agreement2
LOAN003;ACTIVE;100000;monthly;3.8;70;A;https://example.com/agreement3
LOAN004;EXPIRED;60000;monthly;5.1;85;C;https://example.com/agreement4
LOAN005;ACTIVE;120000;quarterly;3.2;65;A;https://example.com/agreement5
LOAN006;ACTIVE;90000;monthly;4.5;78;B;https://example.com/agreement6
LOAN007;ACTIVE;55000;monthly;3.9;82;A;https://example.com/agreement7
LOAN008;ACTIVE;85000;quarterly;4.1;72;B;https://example.com/agreement8
LOAN009;ACTIVE;110000;monthly;3.6;68;A;https://example.com/agreement9
LOAN010;ACTIVE;95000;monthly;4.3;76;B;https://example.com/agreement10
LOAN011;ACTIVE;70000;quarterly;3.7;79;A;https://example.com/agreement11
LOAN012;ACTIVE;80000;monthly;4.0;74;B;https://example.com/agreement12
LOAN013;EXPIRED;65000;monthly;5.5;88;C;https://example.com/agreement13
LOAN014;ACTIVE;105000;quarterly;3.4;66;A;https://example.com/agreement14
LOAN015;ACTIVE;88000;monthly;4.4;77;B;https://example.com/agreement15
LOAN016;ACTIVE;92000;monthly;3.8;73;A;https://example.com/agreement16
LOAN017;ACTIVE;115000;quarterly;3.5;69;A;https://example.com/agreement17
LOAN018;ACTIVE;78000;monthly;4.2;75;B;https://example.com/agreement18
